"Kreis","Land- und Forstwirtschaft, Fischerei (A)","Produzierendes Gewerbe ohne Baugewerbe (B-E)","Verarbeitendes Gewerbe (C)","Baugewerbe (F)","Handel,Verkehr,Gastgewerbe,Informa-/Kommunikation","Fin-,Vers.-,Unt.-dienstl.,Grundst.-/Wohnungswesen","öffentl. u. sonst. Dienstl.,Erziehung, Gesundheit"
"Vulkaneifel, Landkreis",0.8,6.4,6.1,2,7.9,2.3,11.6
"Trier-Saarburg, Landkreis",2.3,8.9,8.7,4.4,13.4,4.9,14.3
"Frankenthal (Pfalz), Kreisfreie Stadt",0.2,5.5,5.2,1.2,5.5,3,7
"Kaiserslautern, Kreisfreie Stadt",0.1,11,10.1,2,16.9,13.6,25.9
"Landau in der Pfalz, Kreisfreie Stadt",0.4,3.8,3.4,1.1,7.8,5.4,12.7
"Ludwigshafen am Rhein, Kreisfreie Stadt",0.3,47.5,45.5,5.3,23.6,17.7,31
"Mainz, Kreisfreie Stadt",0.4,11.2,9.4,4.2,43.6,30.3,65.6
"Neustadt an der Weinstraße, Kreisfreie Stadt",0.7,2.4,2.1,1.9,7.1,4.6,11.6
"Pirmasens, Kreisfreie Stadt",0.1,5.6,5.3,1.1,6.7,3.6,9.5
"Speyer, Kreisfreie Stadt",0,5.9,5.5,1.3,9.2,7,15.3
"Worms, Kreisfreie Stadt",0.5,8.5,7.1,2.5,12.3,7,13.2
"Zweibrücken, Kreisfreie Stadt",0.1,5.7,5.3,0.8,5.2,2.6,7.9
"Alzey-Worms, Landkreis",3.2,6.7,6.2,4.1,10.6,7.9,13.1
"Bad Dürkheim, Landkreis",2.8,6.7,6.2,3.1,12.8,6.4,15.9
"Donnersbergkreis",0.8,9,8.7,1.6,5.8,3.4,10.3
"Germersheim, Landkreis",1.8,22.9,21.9,3.2,11.7,5.6,13.5
"Kaiserslautern, Landkreis",0.5,5.1,4.4,3.4,9.4,3.8,13.3
"Kusel, Landkreis",0.5,3.5,3.3,1.4,4.7,2.2,7.5
"Südliche Weinstraße, Landkreis",2.7,8.2,8,3.6,11.8,4.3,14.2
